pdf_path,relative_path,top_category,second_category,bytes,last_write_time,sample_pypdf_status,sample_pypdf_pages,sample_pypdf_error
H:\내 드라이브\1.민사\강혜림_민법1\교재\민법강의_26.pdf,1.민사\강혜림_민법1\교재\민법강의_26.pdf,1.민사,강혜림_민법1,1114982853,2026-02-25T12:39:22,OK,1699,
H:\내 드라이브\1.민사\강혜림_민법1\교재\민법강의_목차_26.pdf,1.민사\강혜림_민법1\교재\민법강의_목차_26.pdf,1.민사,강혜림_민법1,14392659,2026-02-26T15:53:57,OK,44,
H:\내 드라이브\1.민사\강혜림_민법1\교재\민법강의_물권_26.pdf,1.민사\강혜림_민법1\교재\민법강의_물권_26.pdf,1.민사,강혜림_민법1,303181981,2026-02-26T15:53:57,OK,447,
H:\내 드라이브\1.민사\강혜림_민법1\교재\민법강의_민총_26.pdf,1.민사\강혜림_민법1\교재\민법강의_민총_26.pdf,1.민사,강혜림_민법1,239986595,2026-02-26T15:53:57,OK,371,
H:\내 드라이브\1.민사\강혜림_민법1\교재\민법강의_채각_26.pdf,1.민사\강혜림_민법1\교재\민법강의_채각_26.pdf,1.민사,강혜림_민법1,297382732,2026-02-26T15:53:57,OK,445,
H:\내 드라이브\1.민사\강혜림_민법1\교재\민법강의_채총_26.pdf,1.민사\강혜림_민법1\교재\민법강의_채총_26.pdf,1.민사,강혜림_민법1,221967833,2026-02-26T15:53:57,OK,336,
H:\내 드라이브\1.민사\강혜림_민법1\교재\민법강의_판례색인_26.pdf,1.민사\강혜림_민법1\교재\민법강의_판례색인_26.pdf,1.민사,강혜림_민법1,34733547,2026-02-26T15:53:57,OK,55,
H:\내 드라이브\1.민사\강혜림_민법1\기출\채권담보법_강혜림_2020_중간고사_문제.pdf,1.민사\강혜림_민법1\기출\채권담보법_강혜림_2020_중간고사_문제.pdf,1.민사,강혜림_민법1,19817022,2025-12-22T03:35:44,OK,20,
H:\내 드라이브\1.민사\강혜림_민법1\기출\채권담보법_강혜림_2022_중간고사_문제.pdf,1.민사\강혜림_민법1\기출\채권담보법_강혜림_2022_중간고사_문제.pdf,1.민사,강혜림_민법1,8930516,2025-12-29T21:14:42,OK,25,
H:\내 드라이브\1.민사\강혜림_민법1\기출\채담_강혜림_2020_중간고사_문제.pdf,1.민사\강혜림_민법1\기출\채담_강혜림_2020_중간고사_문제.pdf,1.민사,강혜림_민법1,19817022,2025-12-22T03:35:44,OK,20,
H:\내 드라이브\1.민사\강혜림_민법1\기출\채담_강혜림_2022_중간고사_문제.pdf,1.민사\강혜림_민법1\기출\채담_강혜림_2022_중간고사_문제.pdf,1.민사,강혜림_민법1,8930516,2025-12-29T21:14:42,OK,25,
H:\내 드라이브\1.민사\기출\민사_전경문_민법3_기출__민2_전경운_2025_쟁점별_기출정리본_4개년_변시변모포함_final_장서영_1.pdf,1.민사\기출\민사_전경문_민법3_기출__민2_전경운_2025_쟁점별_기출정리본_4개년_변시변모포함_final_장서영_1.pdf,1.민사,기출,696448,2026-03-10T19:00:44,OK,76,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_13.pdf,1.민사,기출,676828,2023-03-27T00:25:32,OK,39,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_14.pdf,1.민사,기출,516721,2023-04-05T18:37:26,OK,34,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_15.pdf,1.민사,기출,1056814,2023-04-05T19:07:56,OK,48,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_16.pdf,1.민사,기출,941782,2023-03-30T00:06:04,OK,36,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_17.pdf,1.민사,기출,728644,2023-04-06T00:31:02,OK,33,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_18.pdf,1.민사,기출,678481,2023-04-06T00:59:00,OK,39,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_19.pdf,1.민사,기출,792354,2023-04-06T17:42:22,OK,48,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_20.pdf,1.민사,기출,836277,2023-03-27T23:58:00,OK,35,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_21.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_21.pdf,1.민사,기출,881708,2023-04-06T22:00:50,OK,41,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_22.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_22.pdf,1.민사,기출,757778,2023-04-06T22:51:10,OK,43,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_13.pdf,1.민사,기출,420482,2023-03-27T00:25:52,OK,11,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_14.pdf,1.민사,기출,2453482,2014-06-26T18:18:48,OK,9,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_15.pdf,1.민사,기출,217870,2023-04-05T19:08:12,OK,13,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_16.pdf,1.민사,기출,205516,2023-04-05T20:30:08,OK,11,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_17.pdf,1.민사,기출,271098,2023-04-06T00:30:50,OK,14,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_18.pdf,1.민사,기출,243301,2023-04-06T00:59:30,OK,14,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_19.pdf,1.민사,기출,221225,2023-04-06T17:42:06,OK,12,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_20.pdf,1.민사,기출,174815,2023-03-27T23:57:42,OK,12,
H:\내 드라이브\2.형사\교재\반반형법_24.pdf,2.형사\교재\반반형법_24.pdf,2.형사,교재,293813287,2026-02-25T17:45:00,OK,478,
H:\내 드라이브\2.형사\교재\반반형법_25.pdf,2.형사\교재\반반형법_25.pdf,2.형사,교재,216090584,2026-03-12T12:21:11,OK,495,
H:\내 드라이브\2.형사\교재\새로쓴형법총론_ocr_x.pdf,2.형사\교재\새로쓴형법총론_ocr_x.pdf,2.형사,교재,32404996,2026-03-20T09:42:35,OK,673,
H:\내 드라이브\2.형사\교재\이인규_진도별변시사시기출형법사례연습_25.pdf,2.형사\교재\이인규_진도별변시사시기출형법사례연습_25.pdf,2.형사,교재,789701187,2026-03-09T12:23:03,OK,798,
H:\내 드라이브\2.형사\교재\이인규_진도별변시사시기출형법사례연습_개인적법익_25.pdf,2.형사\교재\이인규_진도별변시사시기출형법사례연습_개인적법익_25.pdf,2.형사,교재,303696118,2026-03-09T21:06:26,OK,301,
H:\내 드라이브\2.형사\교재\이인규_진도별변시사시기출형법사례연습_사회적법익_국가기능_특별형법_25.pdf,2.형사\교재\이인규_진도별변시사시기출형법사례연습_사회적법익_국가기능_특별형법_25.pdf,2.형사,교재,221003361,2026-03-09T21:06:43,OK,226,
H:\내 드라이브\2.형사\교재\이인규_진도별변시사시기출형법사례연습_총론_25.pdf,2.형사\교재\이인규_진도별변시사시기출형법사례연습_총론_25.pdf,2.형사,교재,265541381,2026-03-09T21:05:32,OK,271,
H:\내 드라이브\2.형사\교재\작은변사기형법_25.pdf,2.형사\교재\작은변사기형법_25.pdf,2.형사,교재,260262542,2026-03-06T16:01:13,OK,416,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제1차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제1차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사,기출,451126,2023-03-26T23:58:24,OK,10,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32272,2023-03-26T23:58:38,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사,기출,441276,2023-03-27T00:31:14,OK,11,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32271,2023-03-27T00:31:24,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사,기출,449076,2023-03-27T00:41:54,OK,12,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32273,2023-03-27T00:42:02,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사,기출,447263,2023-04-05T18:35:30,OK,11,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,264103,2023-03-22T17:22:10,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사,기출,442246,2023-04-05T18:48:14,OK,11,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32213,2023-03-27T18:51:42,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사,기출,443633,2023-03-30T00:25:20,OK,11,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32620,2023-03-30T00:25:08,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2015년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2015년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32232,2023-04-05T19:06:32,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2016년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2016년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,267000,2023-03-22T17:50:48,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2016년도_제2차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2016년도_제2차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32210,2023-04-05T22:06:04,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2016년도_제3차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2016년도_제3차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32612,2023-04-05T23:25:12,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2017년도_제1차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2017년도_제1차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사,기출,474929,2023-04-06T00:25:40,OK,14,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2017년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2017년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32255,2023-04-06T00:25:14,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2017년도_제3차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2017년도_제3차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사,기출,450715,2023-04-06T00:47:22,OK,12,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2017년도_제3차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2017년도_제3차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,32743,2023-04-06T00:47:26,OK,1,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2020년도_제1차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2020년도_제1차_변호사시험_모의시험_형사법_선택형_문제.pdf,2.형사,기출,435858,2023-04-06T19:00:22,OK,11,
H:\내 드라이브\2.형사\기출\변호사시험\기출\모의고사\1._2020년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사\기출\변호사시험\기출\모의고사\1._2020년도_제1차_변호사시험_모의시험_형사법_선택형_정답표.pdf,2.형사,기출,31861,2023-04-06T19:00:14,OK,1,
H:\내 드라이브\3.공법\교재\1주_헌법기초이론_오리엔테이션_게시용_2.pdf,3.공법\교재\1주_헌법기초이론_오리엔테이션_게시용_2.pdf,3.공법,교재,485680,2026-03-16T16:46:12,OK,75,
H:\내 드라이브\3.공법\교재\2주_헌법기초이론_헌법사_헌법개정_게시용.pdf,3.공법\교재\2주_헌법기초이론_헌법사_헌법개정_게시용.pdf,3.공법,교재,328149,2026-03-16T16:46:46,OK,65,
H:\내 드라이브\3.공법\교재\4주_헌법기초이론_게시용.pdf,3.공법\교재\4주_헌법기초이론_게시용.pdf,3.공법,교재,400901,2026-03-16T16:46:09,OK,76,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,414729,2023-03-26T23:55:04,OK,11,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32090,2023-03-26T23:55:24,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,434910,2023-03-27T00:29:44,OK,11,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32082,2023-03-27T00:29:50,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,429522,2023-03-27T00:39:20,OK,13,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32079,2023-03-27T00:39:28,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,406055,2023-04-05T18:33:16,OK,11,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,254643,2023-03-22T17:15:54,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,431030,2023-04-05T18:45:20,OK,12,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32034,2023-03-27T18:51:00,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,413238,2023-03-30T00:10:30,OK,11,
