"source","dest","item_count","source_exists_after","dest_exists_after"
"H:\내 드라이브\1.민사\강혜림_민법1","H:\내 드라이브\1.민사\10.강혜림_민법1","254","False","True"
"H:\내 드라이브\1.민사\전경운_민법3","H:\내 드라이브\1.민사\20.전경운_민법3","158","False","True"
"H:\내 드라이브\1.민사\송영곤_기본민법","H:\내 드라이브\1.민사\30.송영곤_기본민법","951","False","True"
"H:\내 드라이브\1.민사\송영곤_사례","H:\내 드라이브\1.민사\31.송영곤_사례","9","False","True"
"H:\내 드라이브\1.민사\송영곤_사례연습2","H:\내 드라이브\1.민사\32.송영곤_사례연습2","112","False","True"
"H:\내 드라이브\1.민사\송영곤_쟁노","H:\내 드라이브\1.민사\33.송영곤_쟁노","76","False","True"
"H:\내 드라이브\2.형사\김기용_형법1","H:\내 드라이브\2.형사\10.김기용_형법1","9","False","True"
"H:\내 드라이브\2.형사\서보학_형법1","H:\내 드라이브\2.형사\20.서보학_형법1","45","False","True"
"H:\내 드라이브\2.형사\홍형철_기본형법","H:\내 드라이브\2.형사\30.홍형철_기본형법","29","False","True"
"H:\내 드라이브\2.형사\김성돈_형법총론","H:\내 드라이브\2.형사\40.김성돈_형법총론","14","False","True"
"H:\내 드라이브\3.공법\이진_헌법원리1","H:\내 드라이브\3.공법\10.이진_헌법원리1","12","False","True"
"H:\내 드라이브\4.선택법\법조윤리","H:\내 드라이브\4.선택법\10.법조윤리","27","False","True"
