"source","dest","item_count","source_exists_after","dest_exists_after"
"H:\내 드라이브\1.민사\기출","H:\내 드라이브\1.민사\90.기출","664","False","True"
"H:\내 드라이브\1.민사\보관","H:\내 드라이브\1.민사\91.보관","1754","False","True"
"H:\내 드라이브\1.민사\개념","H:\내 드라이브\1.민사\92.개념","280","False","True"
"H:\내 드라이브\2.형사\기출","H:\내 드라이브\2.형사\90.기출","263","False","True"
"H:\내 드라이브\2.형사\보관","H:\내 드라이브\2.형사\91.보관","302","False","True"
"H:\내 드라이브\2.형사\참고","H:\내 드라이브\2.형사\93.참고","3","False","True"
"H:\내 드라이브\3.공법\기출","H:\내 드라이브\3.공법\90.기출","213","False","True"
"H:\내 드라이브\3.공법\보관","H:\내 드라이브\3.공법\91.보관","147","False","True"
"H:\내 드라이브\3.공법\참고","H:\내 드라이브\3.공법\93.참고","1","False","True"
"H:\내 드라이브\4.선택법\보관","H:\내 드라이브\4.선택법\91.보관","4","False","True"
