"Action","Label","Src","Dest"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p541-570.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p541-570.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p571-600.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p571-600.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p601-630.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p601-630.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p631-660.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p631-660.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p661-690.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p661-690.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p691-720.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p691-720.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p721-750.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p721-750.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p751-780.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p751-780.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p781-810.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p781-810.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p811-840.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p811-840.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p841-870.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p841-870.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p871-900.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p871-900.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p901-930.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p901-930.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p931-960.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p931-960.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p961-990.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p961-990.md"
"moved","song_case_md_pool","H:\내 드라이브\1.민사\보관\추출파일\민사법사례연습2_23_p991-992.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\민사법사례연습2_23_p991-992.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p001-030.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p001-030.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p031-060.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p031-060.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p061-090.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p061-090.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p091-120.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p091-120.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p121-150.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p121-150.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p151-180.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p151-180.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p181-210.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p181-210.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p211-240.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p211-240.md"
