"Path","E_files","H_files","E_MB","H_MB","Flag"
"sync","8105","8109","899","894.4","DIFF"
"outputs","1124","1150","68.1","97.1","DIFF"
".agent","3656","16284","631","928.7","DIFF"
"7.대회","67","73","17.8","20.7","DIFF"
"8.찌라시","56","56","10.4","10.4","MATCH"
"6.진도관리","18","18","0.2","0.2","DIFF"
"리퀴드텍스트 참조","20","0","1947.3","0","DIFF"
"1.민사\신민사법선택형","13","13","611.8","611.8","MATCH"
"1.민사\민사례1","19","19","946","946","MATCH"
"1.민사\요건사실론","2","2","105.5","105.5","MATCH"
"2.형사\이인규형법사례연습","3","3","753.6","753.6","MATCH"
"2.형사\반반형법","10","10","486.5","486.5","MATCH"
"3.공법\유니온헌객","8","8","345.7","345.7","MATCH"
"3.공법\헌법300","7","7","327.4","327.4","MATCH"
